time,enrolled,available,waitlisted,total
2023-05-25T01:22:33,0,40,0,40
2023-05-25T01:34:09,0,40,0,40
2023-05-25T01:45:53,0,40,0,40
2023-05-25T01:57:29,0,40,0,40
2023-05-25T02:09:04,0,40,0,40
2023-05-25T02:20:41,0,40,0,40
2023-05-25T02:32:15,0,40,0,40
2023-05-25T02:43:49,0,40,0,40
2023-05-25T02:55:22,0,40,0,40
2023-05-25T03:06:56,0,40,0,40
2023-05-25T03:18:34,0,40,0,40
2023-05-25T03:30:32,0,40,0,40
2023-05-25T03:42:09,0,40,0,40
2023-05-25T03:53:45,0,40,0,40
2023-05-25T04:05:20,0,40,0,40
2023-05-25T04:25:08,0,40,0,40
2023-05-25T04:36:45,0,40,0,40
2023-05-25T04:48:21,0,40,0,40
2023-05-25T04:59:57,0,40,0,40
2023-05-25T05:11:33,0,40,0,40
2023-05-25T05:23:10,0,40,0,40
2023-05-25T05:34:47,0,40,0,40
2023-05-25T05:46:22,0,40,0,40
2023-05-25T05:57:59,0,40,0,40
2023-05-25T06:09:35,0,40,0,40
2023-05-25T06:21:10,0,40,0,40
2023-05-25T06:32:45,0,40,0,40
2023-05-25T06:44:20,0,40,0,40
2023-05-25T06:55:55,0,40,0,40
2023-05-25T07:07:31,0,40,0,40
2023-05-25T07:19:06,0,40,0,40
2023-05-25T07:30:40,0,40,0,40
2023-05-25T07:42:16,0,40,0,40
2023-05-25T07:53:52,0,40,0,40
2023-05-25T08:05:27,0,40,0,40
2023-05-25T08:17:01,0,40,0,40
2023-05-25T08:28:45,0,40,0,40
2023-05-25T08:40:18,0,40,0,40
2023-05-25T08:51:50,0,40,0,40
2023-05-25T09:03:24,0,40,0,40
2023-05-25T09:14:57,0,40,0,40
2023-05-25T09:26:30,0,40,0,40
2023-05-25T09:38:02,0,40,0,40
2023-05-25T09:49:35,0,40,0,40
2023-05-25T10:01:08,0,40,0,40
2023-05-25T10:12:53,0,40,0,40
2023-05-25T10:24:26,0,40,0,40
2023-05-25T10:35:59,0,40,0,40
2023-05-25T10:47:31,0,40,0,40
2023-05-25T10:59:14,0,40,0,40
2023-05-25T11:10:46,0,40,0,40
2023-05-25T11:22:19,0,40,0,40
2023-05-25T11:33:52,0,40,0,40
2023-05-25T11:45:24,0,40,0,40
2023-05-25T11:57:09,0,40,0,40
2023-05-25T12:08:42,0,40,0,40
2023-05-25T12:20:15,0,40,0,40
2023-05-25T12:31:48,0,40,0,40
2023-05-25T12:43:21,0,40,0,40
2023-05-25T12:54:53,0,40,0,40
2023-05-25T13:06:36,0,40,0,40
2023-05-25T13:18:09,0,40,0,40
2023-05-25T13:29:42,0,40,0,40
2023-05-25T13:41:15,0,40,0,40
2023-05-25T13:52:49,0,40,0,40
2023-05-25T14:04:33,0,40,0,40
2023-05-25T14:16:07,0,40,0,40
2023-05-25T14:27:40,0,40,0,40
2023-05-25T14:39:13,0,40,0,40
2023-05-25T14:50:46,0,40,0,40
2023-05-25T15:02:30,0,40,0,40
2023-05-25T15:14:04,0,40,0,40
2023-05-25T15:25:39,0,40,0,40
2023-05-25T15:37:13,0,40,0,40
2023-05-25T15:48:48,0,40,0,40
2023-05-25T16:00:23,0,40,0,40
2023-05-25T16:12:08,0,40,0,40
2023-05-25T16:23:43,0,40,0,40
2023-05-25T16:35:18,0,40,0,40
