time,enrolled,available,waitlisted,total
2023-09-25T09:58:44,0,0,0,0
2023-09-25T10:11:56,0,0,0,0
2023-09-25T10:24:57,0,0,0,0
2023-09-25T10:37:58,0,30,0,30
2023-09-25T10:50:59,0,30,0,30
2023-09-25T11:04:12,0,30,0,30
2023-09-25T11:17:14,0,30,0,30
2023-09-25T11:30:15,0,30,0,30
2023-09-25T11:43:26,0,30,0,30
2023-09-25T11:56:27,0,30,0,30
2023-09-25T12:09:29,0,30,0,30
2023-09-25T12:22:30,0,30,0,30
2023-09-25T12:35:41,0,30,0,30
2023-09-25T12:48:43,0,30,0,30
2023-09-25T13:01:44,0,30,0,30
2023-09-25T13:14:45,0,30,0,30
2023-09-25T13:27:46,0,30,0,30
2023-09-25T13:40:58,0,30,0,30
2023-09-25T13:53:59,0,30,0,30
2023-09-25T14:07:02,0,30,0,30
2023-09-25T14:20:04,0,30,0,30
2023-09-25T14:33:16,0,30,0,30
2023-09-25T14:46:18,0,30,0,30
2023-09-25T14:59:20,0,30,0,30
2023-09-25T15:12:22,0,30,0,30
2023-09-25T15:25:34,0,30,0,30
2023-09-25T15:38:36,0,30,0,30
2023-09-25T15:51:38,0,30,0,30
2023-09-25T16:04:39,0,30,0,30
2023-09-25T16:17:51,0,30,0,30
2023-09-25T16:30:52,0,30,0,30
2023-09-25T16:43:54,0,30,0,30
2023-09-25T16:56:55,0,30,0,30
2023-09-25T17:10:10,0,30,0,30
2023-09-25T17:23:12,0,30,0,30
2023-09-25T17:36:14,0,30,0,30
2023-09-25T17:49:16,0,30,0,30
2023-09-25T18:02:27,0,30,0,30
2023-09-25T18:15:28,0,30,0,30
2023-09-25T18:28:29,0,30,0,30
2023-09-25T18:41:31,0,30,0,30
2023-09-25T18:54:32,0,30,0,30
2023-09-25T19:07:44,0,30,0,30
2023-09-25T19:20:45,0,30,0,30
2023-09-25T19:33:47,0,30,0,30
2023-09-25T19:46:48,0,30,0,30
2023-09-25T19:59:49,0,30,0,30
2023-09-25T20:13:01,0,30,0,30
2023-09-25T20:26:02,0,30,0,30
2023-09-25T20:39:03,0,30,0,30
2023-09-25T20:52:04,0,30,0,30
2023-09-25T21:05:05,0,30,0,30
2023-09-25T21:18:17,0,30,0,30
2023-09-25T21:31:19,0,30,0,30
2023-09-25T21:44:20,0,30,0,30
2023-09-25T21:57:21,0,30,0,30
2023-09-25T22:10:22,0,30,0,30
2023-09-25T22:23:34,0,30,0,30
2023-09-25T22:36:35,0,30,0,30
2023-09-25T22:49:37,0,30,0,30
2023-09-25T23:02:38,0,30,0,30
2023-09-25T23:15:40,0,30,0,30
2023-09-25T23:28:53,0,30,0,30
2023-09-25T23:41:55,0,30,0,30
2023-09-25T23:54:57,0,30,0,30
2023-09-26T00:07:59,0,30,0,30
2023-09-26T00:21:07,0,30,0,30
2023-09-26T00:34:12,0,30,0,30
2023-09-26T00:47:32,0,30,0,30
2023-09-26T01:00:40,0,30,0,30
2023-09-26T01:13:45,0,30,0,30
2023-09-26T01:26:51,0,30,0,30
2023-09-26T01:39:57,0,30,0,30
2023-09-26T01:53:05,0,30,0,30
2023-09-26T02:06:09,0,30,0,30
2023-09-26T02:19:13,0,30,0,30
2023-09-26T02:32:17,0,30,0,30
2023-09-26T02:45:21,0,30,0,30
2023-09-26T02:58:23,0,30,0,30
2023-09-26T03:11:27,0,30,0,30
2023-09-26T03:24:32,0,30,0,30
2023-09-26T03:37:39,0,30,0,30
2023-09-26T03:50:57,0,30,0,30
2023-09-26T04:04:03,0,30,0,30
2023-09-26T04:32:00,0,30,0,30
2023-09-26T04:45:08,0,30,0,30
2023-09-26T04:58:16,0,30,0,30
2023-09-26T05:11:25,0,30,0,30
2023-09-26T05:24:31,0,30,0,30
2023-09-26T05:37:38,0,30,0,30
2023-09-26T05:50:48,0,30,0,30
2023-09-26T06:03:57,0,30,0,30
2023-09-26T06:17:03,0,30,0,30
2023-09-26T06:30:09,0,30,0,30
2023-09-26T06:43:14,0,30,0,30
2023-09-26T06:56:19,0,30,0,30
2023-09-26T07:09:27,0,30,0,30
2023-09-26T07:22:31,0,30,0,30
2023-09-26T07:35:34,0,30,0,30
2023-09-26T07:48:37,0,30,0,30
2023-09-26T08:01:41,0,30,0,30
2023-09-26T08:14:45,0,30,0,30
2023-09-26T08:28:01,0,30,0,30
2023-09-26T08:41:04,0,30,0,30
2023-09-26T08:54:07,0,30,0,30
2023-09-26T09:07:08,0,30,0,30
2023-09-26T09:20:09,0,30,0,30
2023-09-26T09:33:11,0,30,0,30
