time,enrolled,available,waitlisted,total
2023-05-25T01:23:42,0,22,0,22
2023-05-25T01:35:18,0,22,0,22
2023-05-25T01:47:03,0,22,0,22
2023-05-25T01:58:38,0,22,0,22
2023-05-25T02:10:14,0,22,0,22
2023-05-25T02:21:51,0,22,0,22
2023-05-25T02:33:25,0,22,0,22
2023-05-25T02:44:58,0,22,0,22
2023-05-25T02:56:31,0,22,0,22
2023-05-25T03:08:06,0,22,0,22
2023-05-25T03:19:44,0,22,0,22
2023-05-25T03:31:42,0,22,0,22
2023-05-25T03:43:19,0,22,0,22
2023-05-25T03:54:55,0,22,0,22
2023-05-25T04:06:30,0,22,0,22
2023-05-25T04:26:18,0,22,0,22
2023-05-25T04:37:55,0,22,0,22
2023-05-25T04:49:30,0,22,0,22
2023-05-25T05:01:06,0,22,0,22
2023-05-25T05:12:44,0,22,0,22
2023-05-25T05:24:19,0,22,0,22
2023-05-25T05:35:56,0,22,0,22
2023-05-25T05:47:32,0,22,0,22
2023-05-25T05:59:09,0,22,0,22
2023-05-25T06:10:45,0,22,0,22
2023-05-25T06:22:20,0,22,0,22
2023-05-25T06:33:55,0,22,0,22
2023-05-25T06:45:30,0,22,0,22
2023-05-25T06:57:05,0,22,0,22
2023-05-25T07:08:41,0,22,0,22
2023-05-25T07:20:15,0,22,0,22
2023-05-25T07:31:49,0,22,0,22
2023-05-25T07:43:25,0,22,0,22
2023-05-25T07:55:01,0,22,0,22
2023-05-25T08:06:36,0,22,0,22
2023-05-25T08:18:11,0,22,0,22
2023-05-25T08:29:55,0,22,0,22
2023-05-25T08:41:28,0,22,0,22
2023-05-25T08:53:00,0,22,0,22
2023-05-25T09:04:34,0,22,0,22
2023-05-25T09:16:06,0,22,0,22
2023-05-25T09:27:39,0,22,0,22
2023-05-25T09:39:12,0,22,0,22
2023-05-25T09:50:44,0,22,0,22
2023-05-25T10:02:18,0,22,0,22
2023-05-25T10:14:02,0,22,0,22
2023-05-25T10:25:35,0,22,0,22
2023-05-25T10:37:08,0,22,0,22
2023-05-25T10:48:41,0,22,0,22
2023-05-25T11:00:23,0,22,0,22
2023-05-25T11:11:56,0,22,0,22
2023-05-25T11:23:29,0,22,0,22
2023-05-25T11:35:01,0,22,0,22
2023-05-25T11:46:34,0,22,0,22
2023-05-25T11:58:18,0,22,0,22
2023-05-25T12:09:51,0,22,0,22
2023-05-25T12:21:24,0,22,0,22
2023-05-25T12:32:57,0,22,0,22
2023-05-25T12:44:30,0,22,0,22
2023-05-25T12:56:03,0,22,0,22
2023-05-25T13:07:46,0,22,0,22
2023-05-25T13:19:18,0,22,0,22
2023-05-25T13:30:52,0,22,0,22
2023-05-25T13:42:25,0,22,0,22
2023-05-25T13:53:58,0,22,0,22
2023-05-25T14:05:42,0,22,0,22
2023-05-25T14:17:16,0,22,0,22
2023-05-25T14:28:49,0,22,0,22
2023-05-25T14:40:22,0,22,0,22
2023-05-25T14:51:56,0,22,0,22
2023-05-25T15:03:40,0,22,0,22
2023-05-25T15:15:14,0,22,0,22
2023-05-25T15:26:48,0,22,0,22
2023-05-25T15:38:23,0,22,0,22
2023-05-25T15:49:57,0,22,0,22
2023-05-25T16:01:32,0,22,0,22
2023-05-25T16:13:17,0,22,0,22
2023-05-25T16:24:52,0,22,0,22
2023-05-25T16:36:27,0,22,0,22
2023-05-25T16:48:03,0,22,0,22
2023-05-25T16:59:39,0,22,0,22
2023-05-25T17:11:16,0,22,0,22
2023-05-25T17:23:03,0,22,0,22
2023-05-25T17:34:38,0,22,0,22
2023-05-25T17:46:14,0,22,0,22
2023-05-25T17:57:49,0,22,0,22
2023-05-25T18:09:26,0,22,0,22
2023-05-25T18:21:02,0,22,0,22
2023-05-25T18:32:37,0,22,0,22
2023-05-25T18:44:22,0,22,0,22
2023-05-25T18:55:58,0,22,0,22
2023-05-25T19:07:35,0,22,0,22
2023-05-25T19:19:11,0,22,0,22
2023-05-25T19:30:46,0,22,0,22
2023-05-25T19:42:22,0,22,0,22
2023-05-25T19:54:08,0,22,0,22
2023-05-25T20:05:43,0,22,0,22
2023-05-25T20:17:19,0,22,0,22
2023-05-25T20:28:56,0,22,0,22
2023-05-25T20:40:31,0,22,0,22
2023-05-25T20:52:07,0,22,0,22
2023-05-25T21:03:42,0,22,0,22
2023-05-25T21:15:18,0,22,0,22
2023-05-25T21:27:05,0,22,0,22
2023-05-25T21:38:41,0,22,0,22
2023-05-25T21:50:17,0,22,0,22
2023-05-25T22:01:52,0,22,0,22
2023-05-25T22:13:27,0,22,0,22
2023-05-25T22:25:03,0,22,0,22
2023-05-25T22:36:39,0,22,0,22
2023-05-25T22:48:25,0,22,0,22
2023-05-25T23:00:00,0,22,0,22
2023-05-25T23:11:39,0,22,0,22
2023-05-25T23:23:14,0,22,0,22
2023-05-25T23:34:50,0,22,0,22
2023-05-25T23:46:26,0,22,0,22
2023-05-25T23:58:03,0,22,0,22
2023-05-26T00:09:59,0,22,0,22
2023-05-26T00:21:39,0,22,0,22
2023-05-26T00:33:18,0,22,0,22
2023-05-26T00:44:57,0,22,0,22
2023-05-26T00:56:35,0,22,0,22
2023-05-26T01:08:15,0,22,0,22
2023-05-26T01:19:54,0,22,0,22
2023-05-26T01:31:32,0,22,0,22
2023-05-26T01:43:20,0,22,0,22
2023-05-26T01:54:58,0,22,0,22
2023-05-26T02:06:40,0,22,0,22
2023-05-26T02:18:18,0,22,0,22
2023-05-26T02:29:54,0,22,0,22
2023-05-26T02:41:34,0,22,0,22
2023-05-26T02:53:23,0,22,0,22
2023-05-26T03:05:03,0,22,0,22
2023-05-26T03:16:45,0,22,0,22
2023-05-26T03:28:24,0,22,0,22
2023-05-26T03:40:02,0,22,0,22
2023-05-26T03:51:40,0,22,0,22
2023-05-26T04:03:19,0,22,0,22
2023-05-26T04:15:07,0,22,0,22
2023-05-26T04:37:31,0,22,0,22
2023-05-26T04:49:12,0,22,0,22
2023-05-26T05:00:52,0,22,0,22
2023-05-26T05:12:34,0,22,0,22
2023-05-26T05:24:13,0,22,0,22
2023-05-26T05:35:51,0,22,0,22
2023-05-26T05:47:31,0,22,0,22
2023-05-26T05:59:09,0,22,0,22
2023-05-26T06:10:48,0,22,0,22
2023-05-26T06:22:27,0,22,0,22
2023-05-26T06:34:06,0,22,0,22
2023-05-26T06:45:45,0,22,0,22
2023-05-26T06:57:23,0,22,0,22
2023-05-26T07:09:01,0,22,0,22
2023-05-26T07:20:40,0,22,0,22
2023-05-26T07:32:26,0,22,0,22
2023-05-26T07:44:03,0,22,0,22
2023-05-26T07:55:41,0,22,0,22
2023-05-26T08:07:16,0,22,0,22
2023-05-26T08:18:53,0,22,0,22
2023-05-26T08:30:29,0,22,0,22
2023-05-26T08:42:05,0,22,0,22
2023-05-26T08:53:41,0,22,0,22
2023-05-26T09:05:17,0,22,0,22
2023-05-26T09:16:54,0,22,0,22
2023-05-26T09:28:30,0,22,0,22
2023-05-26T09:40:17,0,22,0,22
2023-05-26T09:51:53,0,22,0,22
2023-05-26T10:03:29,0,22,0,22
2023-05-26T10:15:06,0,22,0,22
2023-05-26T10:26:42,0,22,0,22
2023-05-26T10:38:30,0,22,0,22
2023-05-26T10:50:06,0,22,0,22
2023-05-26T11:01:43,0,22,0,22
2023-05-26T11:13:19,1,21,0,22
2023-05-26T11:24:56,1,21,0,22
2023-05-26T11:36:32,1,21,0,22
2023-05-26T11:48:18,1,21,0,22
2023-05-26T11:59:54,1,21,0,22
2023-05-26T12:11:31,1,21,0,22
2023-05-26T12:23:06,1,21,0,22
2023-05-26T12:34:43,1,21,0,22
2023-05-26T12:46:30,1,21,0,22
2023-05-26T12:58:05,1,21,0,22
2023-05-26T13:09:42,1,21,0,22
2023-05-26T13:21:17,1,21,0,22
2023-05-26T13:33:04,1,21,0,22
2023-05-26T13:44:40,1,21,0,22
2023-05-26T13:56:15,1,21,0,22
2023-05-26T14:07:51,1,21,0,22
2023-05-26T14:19:27,1,21,0,22
2023-05-26T14:31:15,1,21,0,22
2023-05-26T14:42:51,1,21,0,22
2023-05-26T14:54:27,1,21,0,22
2023-05-26T15:06:03,1,21,0,22
2023-05-26T15:17:41,1,21,0,22
2023-05-26T15:29:27,1,21,0,22
2023-05-26T15:41:03,1,21,0,22
2023-05-26T15:52:39,1,21,0,22
2023-05-26T16:04:15,1,21,0,22
2023-05-26T16:15:50,1,21,0,22
2023-05-26T16:27:26,1,21,0,22
2023-05-26T16:39:12,1,21,0,22
2023-05-26T16:50:47,1,21,0,22
2023-05-26T17:02:23,1,21,0,22
2023-05-26T17:14:00,1,21,0,22
2023-05-26T17:25:36,1,21,0,22
2023-05-26T17:37:12,1,21,0,22
2023-05-26T17:48:57,1,21,0,22
2023-05-26T18:00:33,1,21,0,22
2023-05-26T18:12:09,1,21,0,22
2023-05-26T18:23:45,1,21,0,22
2023-05-26T18:35:20,1,21,0,22
2023-05-26T18:46:56,1,21,0,22
2023-05-26T18:58:42,1,21,0,22
2023-05-26T19:10:18,1,21,0,22
2023-05-26T19:21:54,1,21,0,22
2023-05-26T19:33:30,1,21,0,22
2023-05-26T19:45:06,1,21,0,22
2023-05-26T19:56:41,1,21,0,22
2023-05-26T20:08:17,1,21,0,22
2023-05-26T20:20:03,1,21,0,22
2023-05-26T20:31:39,1,21,0,22
2023-05-26T20:43:14,1,21,0,22
2023-05-26T20:54:49,1,21,0,22
2023-05-26T21:06:25,1,21,0,22
2023-05-26T21:18:02,1,21,0,22
2023-05-26T21:29:38,1,21,0,22
2023-05-26T21:41:24,1,21,0,22
2023-05-26T21:53:00,1,21,0,22
2023-05-26T22:04:36,1,21,0,22
2023-05-26T22:16:12,1,21,0,22
2023-05-26T22:27:48,1,21,0,22
2023-05-26T22:39:24,1,21,0,22
2023-05-26T22:51:00,1,21,0,22
2023-05-26T23:02:39,1,21,0,22
2023-05-26T23:14:25,1,21,0,22
2023-05-26T23:26:01,1,21,0,22
2023-05-26T23:37:38,1,21,0,22
2023-05-26T23:49:14,1,21,0,22
2023-05-27T00:00:50,1,21,0,22
2023-05-27T00:12:29,1,21,0,22
2023-05-27T00:24:09,1,21,0,22
2023-05-27T00:35:47,1,21,0,22
2023-05-27T00:47:27,1,21,0,22
2023-05-27T00:59:06,1,21,0,22
2023-05-27T01:10:44,1,21,0,22
2023-05-27T01:22:34,1,21,0,22
2023-05-27T01:34:12,1,21,0,22
2023-05-27T01:45:52,1,21,0,22
2023-05-27T01:57:31,1,21,0,22
2023-05-27T02:09:08,1,21,0,22
2023-05-27T02:20:46,1,21,0,22
2023-05-27T02:32:23,1,21,0,22
2023-05-27T02:44:00,1,21,0,22
2023-05-27T02:55:36,1,21,0,22
2023-05-27T03:07:12,1,21,0,22
2023-05-27T03:18:51,1,21,0,22
2023-05-27T03:30:28,1,21,0,22
2023-05-27T03:42:05,1,21,0,22
2023-05-27T03:53:43,1,21,0,22
2023-05-27T04:05:22,1,21,0,22
2023-05-27T04:17:15,1,21,0,22
2023-05-27T04:39:51,1,21,0,22
2023-05-27T04:51:48,1,21,0,22
2023-05-27T05:03:28,1,21,0,22
2023-05-27T05:15:07,1,21,0,22
2023-05-27T05:26:45,1,21,0,22
2023-05-27T05:38:25,1,21,0,22
2023-05-27T05:50:04,1,21,0,22
2023-05-27T06:01:43,1,21,0,22
2023-05-27T06:13:21,1,21,0,22
2023-05-27T06:25:02,1,21,0,22
2023-05-27T06:36:41,1,21,0,22
2023-05-27T06:48:19,1,21,0,22
2023-05-27T06:59:57,1,21,0,22
2023-05-27T07:11:35,1,21,0,22
2023-05-27T07:23:13,1,21,0,22
2023-05-27T07:34:51,1,21,0,22
2023-05-27T07:46:28,1,21,0,22
2023-05-27T07:58:19,1,21,0,22
2023-05-27T08:09:57,1,21,0,22
2023-05-27T08:21:34,1,21,0,22
2023-05-27T08:33:12,1,21,0,22
2023-05-27T08:44:51,1,21,0,22
2023-05-27T08:56:29,1,21,0,22
2023-05-27T09:08:07,1,21,0,22
2023-05-27T09:19:44,1,21,0,22
2023-05-27T09:31:23,1,21,0,22
2023-05-27T09:43:01,1,21,0,22
2023-05-27T09:54:39,1,21,0,22
2023-05-27T10:06:16,1,21,0,22
2023-05-27T10:18:10,1,21,0,22
2023-05-27T10:29:48,1,21,0,22
2023-05-27T10:41:25,1,21,0,22
2023-05-27T10:53:02,1,21,0,22
2023-05-27T11:04:38,1,21,0,22
2023-05-27T11:16:14,1,21,0,22
2023-05-27T11:27:49,1,21,0,22
2023-05-27T11:39:23,1,21,0,22
2023-05-27T11:50:59,1,21,0,22
2023-05-27T12:02:33,1,21,0,22
2023-05-27T12:14:18,1,21,0,22
2023-05-27T12:25:53,1,21,0,22
2023-05-27T12:37:29,1,21,0,22
2023-05-27T12:49:04,1,21,0,22
2023-05-27T13:00:40,1,21,0,22
2023-05-27T13:12:15,1,21,0,22
2023-05-27T13:23:50,1,21,0,22
2023-05-27T13:35:45,1,21,0,22
2023-05-27T13:47:20,1,21,0,22
2023-05-27T13:58:55,1,21,0,22
2023-05-27T14:10:31,1,21,0,22
