time,enrolled,available,waitlisted,total
2023-05-25T01:24:53,0,20,0,20
2023-05-25T01:36:28,0,20,0,20
2023-05-25T01:48:13,0,20,0,20
2023-05-25T01:59:48,0,20,0,20
2023-05-25T02:11:24,0,20,0,20
2023-05-25T02:23:01,0,20,0,20
2023-05-25T02:34:35,0,20,0,20
2023-05-25T02:46:08,0,20,0,20
2023-05-25T02:57:41,0,20,0,20
2023-05-25T03:09:16,0,20,0,20
2023-05-25T03:20:55,0,20,0,20
2023-05-25T03:32:52,0,20,0,20
2023-05-25T03:44:29,0,20,0,20
2023-05-25T03:56:05,0,20,0,20
2023-05-25T04:27:28,0,20,0,20
2023-05-25T04:39:05,0,20,0,20
2023-05-25T04:50:41,0,20,0,20
2023-05-25T05:02:17,0,20,0,20
2023-05-25T05:13:54,0,20,0,20
2023-05-25T05:25:29,0,20,0,20
2023-05-25T05:37:06,0,20,0,20
2023-05-25T05:48:42,0,20,0,20
2023-05-25T06:00:19,0,20,0,20
2023-05-25T06:11:55,0,20,0,20
2023-05-25T06:23:30,0,20,0,20
2023-05-25T06:35:04,0,20,0,20
2023-05-25T06:46:40,0,20,0,20
2023-05-25T06:58:15,0,20,0,20
2023-05-25T07:09:51,0,20,0,20
2023-05-25T07:21:25,0,20,0,20
2023-05-25T07:32:59,0,20,0,20
2023-05-25T07:44:35,0,20,0,20
2023-05-25T07:56:11,0,20,0,20
2023-05-25T08:07:46,0,20,0,20
2023-05-25T08:19:21,0,20,0,20
2023-05-25T08:31:05,0,20,0,20
2023-05-25T08:42:38,0,20,0,20
2023-05-25T08:54:10,0,20,0,20
2023-05-25T09:05:44,0,20,0,20
2023-05-25T09:17:16,0,20,0,20
2023-05-25T09:28:49,0,20,0,20
2023-05-25T09:40:21,0,20,0,20
2023-05-25T09:51:54,0,20,0,20
2023-05-25T10:03:28,0,20,0,20
2023-05-25T10:15:12,0,20,0,20
2023-05-25T10:26:45,0,20,0,20
2023-05-25T10:38:18,0,20,0,20
2023-05-25T10:49:50,0,20,0,20
2023-05-25T11:01:33,0,20,0,20
2023-05-25T11:13:05,0,20,0,20
2023-05-25T11:24:38,0,20,0,20
2023-05-25T11:36:11,0,20,0,20
2023-05-25T11:47:44,0,20,0,20
2023-05-25T11:59:28,0,20,0,20
2023-05-25T12:11:01,0,20,0,20
2023-05-25T12:22:34,0,20,0,20
2023-05-25T12:34:07,0,20,0,20
2023-05-25T12:45:40,0,20,0,20
2023-05-25T12:57:13,0,20,0,20
2023-05-25T13:08:56,0,20,0,20
2023-05-25T13:20:28,0,20,0,20
2023-05-25T13:32:02,0,20,0,20
2023-05-25T13:43:35,0,20,0,20
2023-05-25T13:55:08,0,20,0,20
2023-05-25T14:06:53,0,20,0,20
2023-05-25T14:18:26,0,20,0,20
2023-05-25T14:29:59,0,20,0,20
2023-05-25T14:41:32,0,20,0,20
2023-05-25T14:53:06,0,20,0,20
2023-05-25T15:04:49,0,20,0,20
2023-05-25T15:16:23,0,20,0,20
2023-05-25T15:27:58,0,20,0,20
2023-05-25T15:39:32,0,20,0,20
2023-05-25T15:51:07,0,20,0,20
2023-05-25T16:02:42,0,20,0,20
2023-05-25T16:14:27,0,20,0,20
2023-05-25T16:26:02,0,20,0,20
2023-05-25T16:37:37,0,20,0,20
2023-05-25T16:49:13,0,20,0,20
2023-05-25T17:00:49,0,20,0,20
2023-05-25T17:12:25,0,20,0,20
2023-05-25T17:24:12,0,20,0,20
2023-05-25T17:35:48,0,20,0,20
2023-05-25T17:47:24,0,20,0,20
2023-05-25T17:58:59,0,20,0,20
2023-05-25T18:10:36,0,20,0,20
2023-05-25T18:22:11,0,20,0,20
2023-05-25T18:33:47,0,20,0,20
2023-05-25T18:45:32,0,20,0,20
2023-05-25T18:57:08,0,20,0,20
2023-05-25T19:08:45,0,20,0,20
2023-05-25T19:20:21,0,20,0,20
2023-05-25T19:31:56,0,20,0,20
2023-05-25T19:43:33,0,20,0,20
2023-05-25T19:55:18,0,20,0,20
2023-05-25T20:06:53,0,20,0,20
2023-05-25T20:18:29,0,20,0,20
2023-05-25T20:30:06,0,20,0,20
2023-05-25T20:41:41,0,20,0,20
2023-05-25T20:53:17,0,20,0,20
2023-05-25T21:04:52,0,20,0,20
2023-05-25T21:16:29,0,20,0,20
2023-05-25T21:28:15,0,20,0,20
2023-05-25T21:39:51,0,20,0,20
2023-05-25T21:51:27,0,20,0,20
2023-05-25T22:03:02,0,20,0,20
2023-05-25T22:14:37,0,20,0,20
2023-05-25T22:26:13,0,20,0,20
2023-05-25T22:37:48,0,20,0,20
2023-05-25T22:49:34,0,20,0,20
2023-05-25T23:01:10,0,20,0,20
2023-05-25T23:12:48,0,20,0,20
2023-05-25T23:24:24,0,20,0,20
2023-05-25T23:36:00,0,20,0,20
2023-05-25T23:47:36,0,20,0,20
2023-05-25T23:59:12,0,20,0,20
2023-05-26T00:11:09,0,20,0,20
2023-05-26T00:22:49,0,20,0,20
2023-05-26T00:34:28,0,20,0,20
2023-05-26T00:46:07,0,20,0,20
2023-05-26T00:57:45,0,20,0,20
2023-05-26T01:09:25,0,20,0,20
2023-05-26T01:21:04,0,20,0,20
2023-05-26T01:32:42,0,20,0,20
2023-05-26T01:44:30,0,20,0,20
2023-05-26T01:56:08,0,20,0,20
2023-05-26T02:07:50,0,20,0,20
2023-05-26T02:19:27,0,20,0,20
2023-05-26T02:31:05,0,20,0,20
2023-05-26T02:42:44,0,20,0,20
2023-05-26T02:54:33,0,20,0,20
2023-05-26T03:06:14,0,20,0,20
2023-05-26T03:17:55,0,20,0,20
2023-05-26T03:29:34,0,20,0,20
2023-05-26T03:41:12,0,20,0,20
2023-05-26T03:52:50,0,20,0,20
2023-05-26T04:04:29,0,20,0,20
2023-05-26T04:16:44,0,20,0,20
2023-05-26T04:38:41,0,20,0,20
2023-05-26T04:50:22,0,20,0,20
2023-05-26T05:02:02,0,20,0,20
2023-05-26T05:13:44,0,20,0,20
2023-05-26T05:25:23,0,20,0,20
2023-05-26T05:37:01,0,20,0,20
2023-05-26T05:48:41,0,20,0,20
2023-05-26T06:00:19,0,20,0,20
2023-05-26T06:11:58,0,20,0,20
2023-05-26T06:23:38,0,20,0,20
2023-05-26T06:35:16,0,20,0,20
2023-05-26T06:46:55,0,20,0,20
2023-05-26T06:58:33,0,20,0,20
2023-05-26T07:10:11,0,20,0,20
2023-05-26T07:21:50,0,20,0,20
2023-05-26T07:33:36,0,20,0,20
2023-05-26T07:45:13,0,20,0,20
2023-05-26T07:56:51,0,20,0,20
2023-05-26T08:08:26,0,20,0,20
2023-05-26T08:20:02,0,20,0,20
2023-05-26T08:31:39,0,20,0,20
2023-05-26T08:43:15,0,20,0,20
2023-05-26T08:54:51,0,20,0,20
2023-05-26T09:06:27,0,20,0,20
2023-05-26T09:18:04,0,20,0,20
2023-05-26T09:29:40,0,20,0,20
2023-05-26T09:41:27,0,20,0,20
2023-05-26T09:53:03,0,20,0,20
2023-05-26T10:04:39,0,20,0,20
2023-05-26T10:16:16,0,20,0,20
2023-05-26T10:27:52,0,20,0,20
2023-05-26T10:39:40,0,20,0,20
2023-05-26T10:51:16,0,20,0,20
2023-05-26T11:02:53,0,20,0,20
2023-05-26T11:14:30,0,20,0,20
2023-05-26T11:26:05,0,20,0,20
2023-05-26T11:37:42,0,20,0,20
2023-05-26T11:49:28,0,20,0,20
2023-05-26T12:01:04,0,20,0,20
2023-05-26T12:12:40,0,20,0,20
2023-05-26T12:24:16,0,20,0,20
2023-05-26T12:35:52,0,20,0,20
2023-05-26T12:47:40,0,20,0,20
2023-05-26T12:59:16,0,20,0,20
2023-05-26T13:10:51,0,20,0,20
2023-05-26T13:22:27,0,20,0,20
2023-05-26T13:34:14,0,20,0,20
2023-05-26T13:45:50,0,20,0,20
2023-05-26T13:57:25,0,20,0,20
2023-05-26T14:09:01,0,20,0,20
2023-05-26T14:20:38,0,20,0,20
2023-05-26T14:32:24,0,20,0,20
2023-05-26T14:44:01,0,20,0,20
2023-05-26T14:55:37,0,20,0,20
2023-05-26T15:07:15,0,20,0,20
2023-05-26T15:18:51,0,20,0,20
2023-05-26T15:30:37,0,20,0,20
2023-05-26T15:42:13,0,20,0,20
2023-05-26T15:53:49,0,20,0,20
2023-05-26T16:05:25,0,20,0,20
2023-05-26T16:17:00,0,20,0,20
2023-05-26T16:28:36,0,20,0,20
2023-05-26T16:40:22,0,20,0,20
2023-05-26T16:51:57,0,20,0,20
2023-05-26T17:03:33,0,20,0,20
2023-05-26T17:15:10,0,20,0,20
2023-05-26T17:26:46,0,20,0,20
2023-05-26T17:38:21,0,20,0,20
2023-05-26T17:50:07,0,20,0,20
2023-05-26T18:01:43,0,20,0,20
2023-05-26T18:13:19,0,20,0,20
2023-05-26T18:24:54,0,20,0,20
2023-05-26T18:36:30,0,20,0,20
2023-05-26T18:48:05,0,20,0,20
2023-05-26T18:59:51,0,20,0,20
